Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
8/2/2022,ETHTUSD,1629.29,1677.94,1562.15,1630.84,171.1454,276774.9514,1899
8/1/2022,ETHTUSD,1678.99,1701.35,1606.5,1631.08,56.4478,93298.94262,1022
7/31/2022,ETHTUSD,1696.3,1751.39,1666.24,1681.16,94.6936,161840.9872,938
7/30/2022,ETHTUSD,1724.87,1742.5,1675.08,1696.3,66.0277,112565.9959,1042
7/29/2022,ETHTUSD,1725.17,1763.35,1659.31,1726,72.5091,124230.1913,1419
7/28/2022,ETHTUSD,1638.69,1787.28,1591.23,1721.78,227.3016,380634.5337,1717
7/27/2022,ETHTUSD,1449.5,1640.2,1420.19,1638.46,185.291,283222.6454,1537
7/26/2022,ETHTUSD,1441.3,1453.28,1357,1449.58,153.5849,217409.1651,1459
7/25/2022,ETHTUSD,1597.52,1606.66,1439.34,1439.91,194.6484,294985.0403,1734
7/24/2022,ETHTUSD,1549.8,1660.17,1547.97,1596.27,164.6903,261778.5576,1197
7/23/2022,ETHTUSD,1536.22,1595.19,1488.03,1549.8,179.6107,276701.8647,1205
7/22/2022,ETHTUSD,1575.2,1645.38,1518.54,1535.94,299.416,471862.2509,1354
7/21/2022,ETHTUSD,1522.21,1605.59,1468.11,1575.1,345.1789,524421.6443,1285
7/20/2022,ETHTUSD,1544.23,1617.74,1494.82,1519.38,285.7716,444559.0637,1559
7/19/2022,ETHTUSD,1582.14,1623.68,1493.68,1543.32,439.8957,680843.9778,1877
7/18/2022,ETHTUSD,1337.3,1587.22,1337.3,1587.22,166.0065,245167.5653,1475
7/17/2022,ETHTUSD,1355.9,1400,1321.39,1335.85,416.7831,566296.1612,1469
7/16/2022,ETHTUSD,1231.65,1415.74,1191.3,1357.37,850.4375,1094007.746,2166
7/15/2022,ETHTUSD,1192.55,1287.81,1181.31,1231.33,685.1899,839328.2135,2170
7/14/2022,ETHTUSD,1112.76,1212.64,1073.76,1193.06,568.8673,651710.3545,2240
7/13/2022,ETHTUSD,1038.78,1115.03,1007.5,1115.03,409.6537,436850.7434,1917
7/12/2022,ETHTUSD,1094.54,1097.12,1032.81,1037.42,334.844,356781.3591,2034
7/11/2022,ETHTUSD,1166.06,1170.36,1089.83,1095.32,486.9879,545391.4399,1853
7/10/2022,ETHTUSD,1216.68,1218.61,1153.64,1166.1,193.4141,228106.0513,1352
7/9/2022,ETHTUSD,1214.2,1231.11,1205.83,1216.04,142.4728,173641.6228,1306
7/8/2022,ETHTUSD,1236.93,1275,1188.87,1214.49,431.0317,531832.5282,1986
7/7/2022,ETHTUSD,1185.63,1253.72,1161.22,1235.53,411.4851,493906.9642,1861
7/6/2022,ETHTUSD,1132.65,1202.64,1110.66,1185.26,446.3076,509047.8961,2424
7/5/2022,ETHTUSD,1149.29,1172.49,1075.61,1133.2,765.0167,869888.6386,3099
7/4/2022,ETHTUSD,1072.51,1164.77,1045.37,1149.49,638.4338,702135.6395,2666
7/3/2022,ETHTUSD,1066.43,1085.43,1030.83,1073.64,580.2802,615464.6642,2073
7/2/2022,ETHTUSD,1057.59,1079.63,1027.23,1065.24,912.4537,960240.7657,2169
7/1/2022,ETHTUSD,1069.77,1114.82,1034.63,1056.1,1184.4279,1262245.159,3380
6/30/2022,ETHTUSD,1097.34,1104.86,997.33,1068.44,999.2367,1043205.275,3600
6/29/2022,ETHTUSD,1142.68,1154.87,1084.5,1098.22,1125.2159,1252063.377,3298
6/28/2022,ETHTUSD,1190.52,1234.86,1136.99,1142.62,656.0628,783073.3067,2578
6/27/2022,ETHTUSD,1197.12,1236.59,1175.04,1189.66,671.2484,809013.9062,3381
6/26/2022,ETHTUSD,1241.42,1277.81,1195.54,1197.4,377.7794,466885.0052,2228
6/25/2022,ETHTUSD,1219.63,1252.91,1180.32,1240.76,638.7529,775056.1444,1769
6/24/2022,ETHTUSD,1143.06,1241.87,1132.18,1224.32,1015.8319,1199271.135,848
6/23/2022,ETHTUSD,1048.82,1149.27,1048.21,1144.28,799.4166,888515.0286,1657
6/22/2022,ETHTUSD,1124.92,1125.2,1041.39,1048.16,724.1971,784767.0669,2469
6/21/2022,ETHTUSD,1126.76,1191.1,1104.38,1124.87,496.8829,568975.6967,2540
6/20/2022,ETHTUSD,1128.08,1166.55,1054.09,1127.03,926.3945,1025808.13,3022
6/19/2022,ETHTUSD,995.47,1156.58,936.62,1127.28,1458.6931,1478112.152,3635
6/18/2022,ETHTUSD,1084,1095.61,886.21,993.64,1111.6965,1103633.361,3611
6/17/2022,ETHTUSD,1066.26,1115.99,1050,1085.22,564.184,614377.0886,2611
6/16/2022,ETHTUSD,1235.8,1255.1,1052.18,1066.97,941.941,1066406.346,3271
6/15/2022,ETHTUSD,1204.98,1245.27,1014.68,1235.9,1228.7596,1378704.627,4016
6/14/2022,ETHTUSD,1207.59,1259.66,1074.38,1204.3,2066.686,2451975.304,4523
6/13/2022,ETHTUSD,1432.65,1450.24,1013.79,1209.77,3330.43155,4190302.968,5706
6/12/2022,ETHTUSD,1532.57,1540.21,1427.49,1432.75,484.9847,717977.6316,2457
6/11/2022,ETHTUSD,1661.09,1679.96,1500,1527.6,588.64241,916958.5761,2358
6/10/2022,ETHTUSD,1787.21,1801.85,1655,1660.86,820.9458,1414351.473,2890
6/9/2022,ETHTUSD,1790.77,1830.85,1775.58,1786.54,534.6652,959759.1603,1750
6/8/2022,ETHTUSD,1813.79,1834.76,1765.31,1789.44,411.1333,739628.4004,2026
6/7/2022,ETHTUSD,1858.36,1871.88,1726.19,1812.05,949.4604,1685289.668,2532
6/6/2022,ETHTUSD,1805.1,1917.5,1803.02,1858.97,525.4966,989370.0024,1867
6/5/2022,ETHTUSD,1803.34,1828.37,1775.63,1804.04,134.0673,242005.7852,950
6/4/2022,ETHTUSD,1774.04,1812.85,1746.42,1801.89,303.7723,538765.6828,1126
6/3/2022,ETHTUSD,1832.44,1841.97,1741.57,1773.65,449.4084,795543.8996,1673
6/2/2022,ETHTUSD,1814.89,1891.11,1781.04,1832.35,429.2095,778820.3416,1564
